step,episode,episode_return,episode_length,seed
2048,1,11.0,11,1
2048,2,14.0,14,1
2048,3,17.0,17,1
2048,4,18.0,18,1
2048,5,15.0,15,1
2048,6,29.0,29,1
2048,7,17.0,17,1
2048,8,10.0,10,1
2048,9,14.0,14,1
2048,10,15.0,15,1
2048,11,16.0,16,1
2048,12,21.0,21,1
2048,13,35.0,35,1
2048,14,42.0,42,1
2048,15,15.0,15,1
2048,16,45.0,45,1
2048,17,13.0,13,1
2048,18,37.0,37,1
2048,19,14.0,14,1
2048,20,15.0,15,1
2048,21,45.0,45,1
2048,22,15.0,15,1
2048,23,19.0,19,1
2048,24,19.0,19,1
2048,25,26.0,26,1
2048,26,16.0,16,1
2048,27,49.0,49,1
2048,28,23.0,23,1
2048,29,25.0,25,1
2048,30,16.0,16,1
2048,31,34.0,34,1
2048,32,21.0,21,1
2048,33,37.0,37,1
2048,34,15.0,15,1
2048,35,22.0,22,1
2048,36,19.0,19,1
2048,37,18.0,18,1
2048,38,17.0,17,1
2048,39,57.0,57,1
2048,40,12.0,12,1
2048,41,10.0,10,1
2048,42,38.0,38,1
2048,43,24.0,24,1
2048,44,19.0,19,1
2048,45,35.0,35,1
2048,46,22.0,22,1
2048,47,16.0,16,1
2048,48,10.0,10,1
2048,49,27.0,27,1
2048,50,12.0,12,1
2048,51,12.0,12,1
2048,52,28.0,28,1
2048,53,17.0,17,1
2048,54,65.0,65,1
2048,55,17.0,17,1
2048,56,11.0,11,1
2048,57,11.0,11,1
2048,58,30.0,30,1
2048,59,8.0,8,1
2048,60,28.0,28,1
2048,61,26.0,26,1
2048,62,21.0,21,1
2048,63,20.0,20,1
2048,64,44.0,44,1
2048,65,31.0,31,1
2048,66,27.0,27,1
2048,67,15.0,15,1
2048,68,38.0,38,1
2048,69,14.0,14,1
2048,70,17.0,17,1
2048,71,35.0,35,1
2048,72,23.0,23,1
2048,73,23.0,23,1
2048,74,31.0,31,1
2048,75,13.0,13,1
2048,76,13.0,13,1
2048,77,15.0,15,1
2048,78,19.0,19,1
2048,79,24.0,24,1
2048,80,51.0,51,1
2048,81,17.0,17,1
2048,82,20.0,20,1
2048,83,11.0,11,1
2048,84,35.0,35,1
2048,85,16.0,16,1
2048,86,15.0,15,1
2048,87,22.0,22,1
2048,88,15.0,15,1
2048,89,13.0,13,1
2048,90,16.0,16,1
4096,91,36.0,36,1
4096,92,30.0,30,1
4096,93,21.0,21,1
4096,94,32.0,32,1
4096,95,35.0,35,1
4096,96,18.0,18,1
4096,97,37.0,37,1
4096,98,26.0,26,1
4096,99,16.0,16,1
4096,100,40.0,40,1
4096,101,27.0,27,1
4096,102,57.0,57,1
4096,103,16.0,16,1
4096,104,22.0,22,1
4096,105,26.0,26,1
4096,106,41.0,41,1
4096,107,24.0,24,1
4096,108,41.0,41,1
4096,109,39.0,39,1
4096,110,26.0,26,1
4096,111,42.0,42,1
4096,112,24.0,24,1
4096,113,22.0,22,1
4096,114,52.0,52,1
4096,115,90.0,90,1
4096,116,33.0,33,1
4096,117,32.0,32,1
4096,118,24.0,24,1
4096,119,34.0,34,1
4096,120,30.0,30,1
4096,121,37.0,37,1
4096,122,49.0,49,1
4096,123,96.0,96,1
4096,124,37.0,37,1
4096,125,24.0,24,1
4096,126,30.0,30,1
4096,127,40.0,40,1
4096,128,25.0,25,1
4096,129,58.0,58,1
4096,130,13.0,13,1
4096,131,53.0,53,1
4096,132,64.0,64,1
4096,133,61.0,61,1
4096,134,56.0,56,1
4096,135,44.0,44,1
4096,136,26.0,26,1
4096,137,14.0,14,1
4096,138,9.0,9,1
4096,139,32.0,32,1
4096,140,95.0,95,1
4096,141,37.0,37,1
